2theta in degrees,after debinding and sintering,normalized
10,1203.519,52.86849
10.02,1262.647,55.46588
10.04,1185.52,52.07783
10.06,1221.15,53.64299
10.08,1246.087,54.73843
10.1,1245.186,54.69885
10.12,1229.084,53.99152
10.14,1245.223,54.70048
10.16,1270.713,55.82021
10.18,1264.557,55.54979
10.2,1285.281,56.46016
10.22,1272.555,55.90112
10.24,1268.313,55.71478
10.26,1257.057,55.22032
10.28,1247.467,54.79905
10.3,1247.278,54.79075
10.32,1297.139,56.98106
10.34,1290.166,56.67475
10.36,1333.497,58.5782
10.38,1283.789,56.39461
10.4,1362.145,59.83666
10.42,1286.352,56.5072
10.44,1323.112,58.12201
10.46,1354.585,59.50456
10.48,1401.432,61.56247
10.5,1339.643,58.84818
10.52,1395.086,61.2837
10.54,1385.917,60.88092
10.56,1354.42,59.49731
10.58,1391.889,61.14326
10.6,1369.485,60.15909
10.62,1373.217,60.32303
10.64,1406.942,61.80451
10.66,1435.806,63.07246
10.68,1449.996,63.6958
10.7,1405.199,61.72794
10.72,1349.268,59.27099
10.74,1463.991,64.31057
10.76,1392.263,61.15969
10.78,1402.115,61.59247
10.8,1431.695,62.89187
10.82,1391.309,61.11778
10.84,1478.174,64.93361
10.86,1496.708,65.74778
10.88,1518.028,66.68433
10.9,1464.071,64.31409
10.92,1496.443,65.73613
10.94,1507.213,66.20924
10.96,1451.693,63.77034
10.98,1422.432,62.48496
11,1530.696,67.24081
11.02,1548.318,68.01491
11.04,1481.646,65.08613
11.06,1510.787,66.36624
11.08,1544.168,67.83261
11.1,1570.603,68.99385
11.12,1496.18,65.72458
11.14,1525.484,67.01185
11.16,1543.301,67.79452
11.18,1588.847,69.79528
11.2,1559.247,68.495
11.22,1592.698,69.96445
11.24,1595.849,70.10287
11.26,1621.346,71.22291
11.28,1543.205,67.79031
11.3,1610.512,70.74699
11.32,1594.873,70.05999
11.34,1657.871,72.82739
11.36,1616.56,71.01266
11.38,1595.637,70.09355
11.4,1617.491,71.05356
11.42,1619.789,71.15451
11.44,1692.536,74.35016
11.46,1637.062,71.91328
11.48,1639.43,72.0173
11.5,1657.605,72.8157
11.52,1609.823,70.71672
11.54,1697.517,74.56896
11.56,1669.29,73.329
11.58,1655.814,72.73702
11.6,1671.364,73.42011
11.62,1723.71,75.71958
11.64,1710.461,75.13757
11.66,1683.799,73.96636
11.68,1714.119,75.29826
11.7,1697.784,74.58069
11.72,1655.776,72.73536
11.74,1781.229,78.24629
11.76,1749.886,76.86944
11.78,1690.326,74.25308
11.8,1710.881,75.15602
11.82,1735.376,76.23204
11.84,1688.156,74.15775
11.86,1796.932,78.93609
11.88,1807.127,79.38394
